ières,Type,Teneur en alcool,Brasserie,brasserie,localité,province,Principales bières,Production annuelle en hl,Géolocalisation
Flodder,Fermentation haute,8 %,De Proefbrouwerij pour VALOCCO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Floreffe Blond,Abbaye,"6,3 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Floreffe Dubbel,Abbaye,"6,3 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Floreffe Prima Melior,Abbaye,8 %,Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Floreffe Tripel,Abbaye,"7,5 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Floreffe Wit-bière,"Blanche, Abbaye","4,5 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Florilège de Pensée,Fruitée,9 %,Brasserie d'Écaussinnes pour Vigneron des Fleurs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florilège de Rose,Fruitée,9 %,Brasserie d'Écaussinnes pour Vigneron des Fleurs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florilège de Sureau,Fruitée,9 %,Brasserie d'Écaussinnes pour Vigneron des Fleurs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florilège d’Hibiscus,Fruitée,9 %,Brasserie d'Écaussinnes pour Vigneron des Fleurs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Floris Cactus,Blanche,"4,2 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Chocolat,Brune,"4,2 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Fraise,Fruitée,"3,6 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Framboise,Fruitée,"3,7 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Griotte,Fruitée,3 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Honey,Bière au miel,"4,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Kriek,Fruitée,"3,6 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Mango,Fruitée,"3,6 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Ninkeberry,Fruitée,"3,6 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Passion,Fruitée,"3,6 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Pear,Fruitée,"3,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Pomme / Apple,Fruitée,"3,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Floris Blanche,Blanche,5 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Florival Blond,Abbaye,7 %,Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florival Bruin,Brune,7 %,Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florival Tripel,Triple,"8,5 %",Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florival Winter,Rouge-brune,9 %,Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Foewerbière,Ambrée,7 %,Brasserie Kerkom,Brasserie Kerkom,Saint-Trond,Limbourg,,,
Forestinne Ambrosia,Ambrée,"7,5 %",Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
Forestinne Elexir,Fruitée, ? %,Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
Forestinne Gothika,Ale,"7,5 %",Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
Forestinne Mysteria,"Blonde, Spéciale","7,5 %",Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
Forestinne Nordika,Bière de Noël,"7,5 %",Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
Forestinne Primoria,Blonde,"7,5 %",Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
La Forgeronne,Ambrée,6 %,Brasserie de Tubize,Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,,"50° 41′ 54,64″ N, 4° 12′ 19,74″ E"
Fort Lapin 6,Blonde,6 %,Brasserie Fort Lapin,Brasserie Fort Lapin,Bruges,Flandre-Occidentale,Fort Lapin,,"51° 13′ 25″ N, 3° 14′ 05″ E"
Fort Lapin 8,Triple,8 %,Brasserie Fort Lapin,Brasserie Fort Lapin,Bruges,Flandre-Occidentale,Fort Lapin,,"51° 13′ 25″ N, 3° 14′ 05″ E"
Fort Lapin 10,Quadruple,10 %,Brasserie Fort Lapin,Brasserie Fort Lapin,Bruges,Flandre-Occidentale,Fort Lapin,,"51° 13′ 25″ N, 3° 14′ 05″ E"
Framboise Boon,"Lambic, Fruitée",6 %,Brasserie Boon,Brasserie Boon,Hal,Brabant flamand,Boon,,"50° 42′ 44,66″ N, 4° 13′ 12,37″ E"
Framboise Girardin,"Lambic, Fruitée",5 %,Brasserie Girardin,Brasserie Girardin,Dilbeek,Brabant flamand,Girardin,,
Framboise Lindemans,"Lambic, Fruitée","2,5 %",Brasserie Lindemans,Brasserie Lindemans,Leeuw-Saint-Pierre,Brabant flamand,"Lindemans, Foudroyante",,
Framboise Max Jacobins,"Lambic, Fruitée",3 %,Brasserie Bockor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Framboise Oud Beersel,"Lambic, Fruitée",5 %,Brasserie Oud Beersel,Brasserie Oud Beersel,Beersel,Brabant flamand,Oud Beersel,,
FrancheFleur,Blonde,"6,5 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Frasnoise Givrée,Ambrée,"6,3 %",Brasserie La Frasnoise,Brasserie La Frasnoise,Frasnes-lez-Anvaing,Hainaut,Frasnoise,,"50° 40′ 05,87″ N, 3° 37′ 10,51″ E"
Frasnoise Rétro,Ambrée,"6,5 %",Brasserie La Frasnoise,Brasserie La Frasnoise,Frasnes-lez-Anvaing,Hainaut,Frasnoise,,"50° 40′ 05,87″ N, 3° 37′ 10,51″ E"
Freaky,"Brune, Ale","3,8 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Freaky Dark,Lambic,"3,8 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Fruitig bièrereke,Fruitée,"8,2 %",Brasserie DijkWaert,Brasserie Dijkwaert,Herentals,Anvers,Thals,,
Le Fruit Défendu (Verboden Vrucht),Brune,9 %,Brasserie De Kluis (Inbev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Fumette,"Fermentation haute, Rauchbier","6,5 %",Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
Gageleer,Bio,"7,5 %",De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
Gaspar,Ambrée,8 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Gauloise Ambrée,Ambrée,"5,5 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gauloise Blonde,Blonde,"6,3 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gauloise Triple Blonde,"Blonde, Triple","9,7 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gauloise Brune,Brune,"8,1 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gauloise Fruits rouges,Fruitée,"8,2 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gauloise Christmas,Bière de Noël,"8,1 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gauloise Blonde,Blonde,"6,3 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Gengoulf,Blonde,"6,1 %",Brasserie Gengoulf,Brasserie Gengoulf,Florenville,Luxembourg,Gengoulf,,"49° 37′ 15″ N, 5° 20′ 31″ E"
Gengoulf aux Cèpes,Blonde,"7,5 %",Brasserie Gengoulf,Brasserie Gengoulf,Florenville,Luxembourg,Gengoulf,,"49° 37′ 15″ N, 5° 20′ 31″ E"
Gentse Tripel,Blonde,8 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gertrude Ambrée,"Ambrée, Fermentation haute",6 %,Brasserie de Bouillon,Brasserie de Bouillon,Bouillon,Luxembourg,"La Médiévale, Cuvée de Bouillon",,"49° 49′ 30,47″ N, 5° 05′ 11,55″ E"
Gertrude Triple,Triple,"7,5 %",De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
Ghulden Cop,Blonde,6 %,Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
Gigi speciale,Bière de table,"2,5 %",Brasserie Gigi,Brasserie Gigi,Meix-devant-Virton,Luxembourg,Spéciale Gigi,,"49° 37′ 10,79″ N, 5° 25′ 32,49″ E"
Gildenbière,"Fermentation haute, Brune",7 %,Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Ginder Ale,"Fermentation haute, Ambrée","5,1 %",InBev,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Glutaner,Pils,"5,2 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Goeie Koffe,Stout,"9,5 %",Brasserie DijkWaert,Brasserie Dijkwaert,Herentals,Anvers,Thals,,
Golden Kenia,Pils,"5,1 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Golding Campina,Pils,"4,8 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gold Pils,Pils,5 %,Brasserie Bavik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Goliath Blonde,"Fermentation haute, Blonde","5,5 %",Brasserie des Légendes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Goliath Triple,"Fermentation haute, Triple",9 %,Brasserie des Légendes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Goliath Winter,"Fermentation haute, Ambrée",7 %,Brasserie des Légendes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gordon 0,00",NA,0 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Chrome,Fermentation haute,"10,5 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Copper,Fermentation haute,"6,6 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Gold,Fermentation haute,10 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Platinum,Fermentation haute,12 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Red,"Fermentation haute, Rouge","8,4 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Scotch,Ale,"8,6 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Silver,Fermentation haute,"7,7 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Finest Zero,NA,0 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Five,Pils,5 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gordon Xmas,Bière de Noël,"8,8 %",Brasserie Palm pour le Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Goud Vuur,"Ambrée, Triple",9 %,Brasserie DijkWaert,Brasserie Dijkwaert,Herentals,Anvers,Thals,,
Gouden Arend 125,Blonde dorée,"8,5 %",Brasserie De Ryck,Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,,
Gouden Carolus Ambrio,Ambrée,8 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Gouden Carolus Christmas,"Brune, Spéciale","10,5 %",Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Gouden Carolus Classic,"Brune, Spéciale","8,5 %",Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Gouden Carolus Easter,"Brune, Spéciale",10 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Gouden Carolus Hopsinjoor,"Blonde, Spéciale",8 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Gouden Carolus Tripel,Triple,9 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Gouden Pier Kloeffe,"Fermentation haute, Triple","8,1 %",De Proefbrouwerij pour la Brasserie Slaapmutske,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gouyasse,"Fermentation haute, Blonde",7 %,Brasserie des Géants,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grand Cru Bruocsella,Lambic,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Grandgousier,Blonde,"5,5 %",Brasserie de la Lienne,Brasserie de la Lienne,Lierneux,Liège,"Lienne, Grandgousier, 3Pontoise",650,"50° 20′ 25,11″ N, 5° 49′ 08,32″ E"
Green Buzz,Bio,6 %,Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
La Grelotte,Bière de Noël,9 %,Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Gribousine Blonde,Fermentation haute,"8,5 %",Brasserie La Binchoise pour la Brasserie de Malonne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gribousine Brune,Fermentation haute,8 %,Brasserie La Binchoise pour la Brasserie de Malonne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gribousine Hiver,Bière de Noël,"8,5 %",Brasserie La Binchoise pour la Brasserie de Malonne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Griboval,Fermentation haute,"6,5 %",Brasserie Van Den Bossche pour Scouts Moen 50 jaar (2011),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Blond,Abbaye Fermentation haute,"6,7 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Cuvée de l'Ermitage,Fermentation haute,"7,5 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Dubbel,Fermentation haute,"6,5 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Goud 8°,"Fermentation haute, Blonde",8 %,Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Optimo Bruno,Fermentation haute,10 %,Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Selection,"Brune, Double",7 %,Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grimbergen Tripel,Triple,9 %,Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grisette Ambrée,Ambrée,5 %,Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grisette Blanche,Blanche,5 %,Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grisette Blonde,Blonde,"4,5 %",Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grisette Cérise,Fruitée,"3,5 %",Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grisette Country Cool,,"3,5 %",Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grisette Fruits des Bois,Fruitée,"3,5 %",Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Grognarde,Fermentation haute,"5,5 %",Brasserie Sainte-Hélène,Brasserie Sainte-Hélène,Virton,Luxembourg,"Mistinguett, Gipsy Rose, Lily Blue",,"49° 34′ 54,01″ N, 5° 34′ 12,45″ E"
Grotten Flemish Ale,"Fermentation haute, Ale","7,7 %",Brasserie St. Bernardus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grottenbière,Fermentation haute,"6,5 %",Brasserie St. Bernardus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gruut Amber,Ambrée,"6,6 %",Stadsbrouwerij Gruut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gruut Blond,Blonde,"5,5 %",Stadsbrouwerij Gruut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gruut Bruin,Brune,8 %,Stadsbrouwerij Gruut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gruut Inferno,Blonde dorée,9 %,Stadsbrouwerij Gruut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gruut Wit,Blanche,5 %,Stadsbrouwerij Gruut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gueuze Cantillon 100% Lambic Bio,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Gueuze Girardin,Gueuze,5 %,Brasserie Girardin,Brasserie Girardin,Dilbeek,Brabant flamand,Girardin,,
Gueuze Girardin gefilterd,Gueuze,5 %,Brasserie Girardin,Brasserie Girardin,Dilbeek,Brabant flamand,Girardin,,
Gueuze Jacobins,Gueuze,"5,5 %",Brasserie Bockor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gueuze Lindemans,Gueuze,"5,5 %",Brasserie Lindemans,Brasserie Lindemans,Leeuw-Saint-Pierre,Brabant flamand,"Lindemans, Foudroyante",,
Gueuze Mariage Parfait,Gueuze,8 %,Brasserie Boon,Brasserie Boon,Hal,Brabant flamand,Boon,,"50° 42′ 44,66″ N, 4° 13′ 12,37″ E"
Gueuze Tilquin,Gueuze,"6,4 %",Gueuzerie Tilquin,Gueuzerie Tilquin,Rebecq,Brabant wallon,"Oude Gueuze Tilquin à l'ancienne, Quetsche Tilquin",,"50° 41′ 35,97″ N, 4° 06′ 42,03″ E"
Gueuze Tilquin Version Fût,Gueuze,"4,8 %",Gueuzerie Tilquin,Gueuzerie Tilquin,Rebecq,Brabant wallon,"Oude Gueuze Tilquin à l'ancienne, Quetsche Tilquin",,"50° 41′ 35,97″ N, 4° 06′ 42,03″ E"
Guido,Fermentation haute,8 %,Brasserie De Regenboog,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Guillotine,Blonde,"8,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Gulden Delle,,"8,5 %",Brasserie De Vlier,Brasserie De Vlier,Holsbeek,Brabant flamand,Kessel,,
Gulden Draak,"Fermentation haute, Brune","10,5 %",Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guldenberg,"Blonde, Abbaye","8,5 %",Brasserie De Ranke,Brasserie De Ranke,Mouscron,Hainaut,"Guldenberg, Saison de Dottignies, Cuvée De Ranke",,
Gypsy Rose,Ambrée,9 %,Brasserie Sainte-Hélène,Brasserie Sainte-Hélène,Virton,Luxembourg,"Mistinguett, Gipsy Rose, Lily Blue",,"49° 34′ 54,01″ N, 5° 34′ 12,45″ E"
,,,,,,,,,
Haanse Witte,Blanche,"5,5 %",Brasserie Strubbe pour den Haene,,,,,,
Halleschelle,Blonde,"8,5 %",Brasserie Alvinne,,,,,,
Hanssens Lambic Experimental Cassis,"Lambic, Fruitée",4 %,Brasserie Hanssens,,,,,,
Hanssens Lambic Experimental Raspberry,"Lambic, Fruitée",4 %,Brasserie Hanssens,,,,,,
Hapkin,"Fermentation haute, Blonde","8,5 %",Alken-Maes (Heineken),,,,,,
Harelbekenaar van de abdijhoeve,Rouge-brune (Bière-étiquette),6 %,Brasserie Van Eecke,,,,,,
Hector,"Fermentation haute, Triple","8,2 %",Brasserie De Graal,,,,,,
Heksemiebière,Fermentation haute,"6,2 %",Microbrasserie Achilles,,,,,,
Hellekapelle,Blonde,5 %,Brasserie De Bie,,,,,,
Helleketelbière,Ambrée,7 %,Brasserie De Bie,,,,,,
Hercule Stout,Stout,9 %,Brasserie des Légendes,,,,,,
Herkenrode Bruin,"Abbaye, Brune",7 %,Brasserie Cornelissen,,,,,,
Herkenrode Tripel,"Abbaye, Triple",7 %,Brasserie Cornelissen,,,,,,
Hertalse Poorter,"Fermentation haute, Blonde","6,5 %",Brasserie Slaghmuylder,,,,,,
Hertenheer,"Fermentation haute, Ambrée","6,5 %",Scheldebrouwerij pour la Brasserie Het Nest,,,,,,
La Hervoise,Brune,8 %,Brasserie Grain d'Orge,,,,,,
La Heusschennoise,Blonde,7 %,Brasserie Grain d'Orge,,,,,,
Hik Blond,"Fermentation haute, ale","6,5 %",Brasserie De Graal pour la Brasserie Het Alternatief,,,,,,
Hik Bruin,Fermentation haute,"6,5 %",Brasserie De Graal pour la Brasserie Het Alternatief,,,,,,
Himelein,Fermentation haute,6 %,Brasserie Vissenaken,,,,,,
L'Hiveresse,Brune,8 %,Brasserie de la Lesse,,,,,,
Hoegaarden,"Fermentation haute, Blanche","4,9 %",Brasserie De Kluis (InBev),,,,,,
"Hoegaarden 0,0",Blanche NA,0 %,Brasserie De Kluis (InBev),,,,,,
"Hoegaarden 0,0 Rosée",Fruitée NA,0 %,Brasserie De Kluis (InBev),,,,,,
Hoegaarden Citron,Fruitée,3 %,Brasserie De Kluis (InBev),,,,,,
Hoegaarden Grand Cru,Fermentation haute,"8,5 %",Brasserie De Kluis (InBev),,,,,,
Hoegaarden Radler Agrum,Panaché,2 %,Brasserie De Kluis (InBev),,,,,,
Hoegaarden Radler Lemon & Lime,Panaché,2 %,Brasserie De Kluis (InBev),,,,,,
Hoegaarden Rosée,Fruitée,3 %,Brasserie De Kluis (InBev),,,,,,
Hoegaarden Spéciale,"Fermentation haute, Blonde dorée","5,7 %",Brasserie De Kluis (InBev),,,,,,
Hoegaarden Verboden Vrucht,Fruitée,"8,8 %",Brasserie De Kluis (InBev),,,,,,
Hof Korvatunturi,"Fermentation haute, Brune",11 %,'t Hofbrouwerijke,,,,,,
Hof ten Dormaal Amber,Fermentation haute,"7,5 %",Brasserie Hof ten Dormaal,,,,,,
Hof ten Dormaal Blond,Fermentation haute,8 %,Brasserie Hof ten Dormaal,,,,,,
Hof ten Dormaal Donker,Fermentation haute,"8,5 %",Brasserie Hof ten Dormaal,,,,,,
Hofblues,Stout,"5,5 %",'t Hofbrouwerijke,,,,,,
Hofdraak,Brune,"6,5 %",'t Hofbrouwerijke,,,,,,
Hofelf,Triple,"7,5 %",'t Hofbrouwerijke,,,,,,
Hofnar,Ambrée,9 %,'t Hofbrouwerijke,,,,,,
Hofpint,"Fermentation haute, Pils","5,5 %",'t Hofbrouwerijke,,,,,,
Hoftrol,Ambrée,"6,2 %",'t Hofbrouwerijke,,,,,,
Holger,Pils,5 %,Brasserie Martens,,,,,,
Holsbeek Lentetripel,Triple,"8,5 %",Brasserie De Vlier,,,,,,
Hommel,"Blonde dorée, Fermentation haute","7,5 %",Brasserie Van Eecke,,,,,,
Hop Harvest,Brune,8 %,Brasserie De Ranke,,,,,,
Hop Ruiter,Triple,8 %,Scheldebrouwerij,,,,,,
